Datetime (UTC),Actual Carbon Intensity (gCO2/kWh),Forecast Carbon Intensity (gCO2/kWh),Index
2020-11-30T00:00Z,151,191,low
2020-11-30T00:30Z,147,170,low
2020-11-30T01:00Z,148,160,low
2020-11-30T01:30Z,146,144,low
2020-11-30T02:00Z,150,144,low
2020-11-30T02:30Z,143,145,low
2020-11-30T03:00Z,161,150,moderate
2020-11-30T03:30Z,166,150,moderate
2020-11-30T04:00Z,180,147,moderate
2020-11-30T04:30Z,181,158,moderate
2020-11-30T05:00Z,190,162,moderate
2020-11-30T05:30Z,195,167,moderate
2020-11-30T06:00Z,205,178,moderate
2020-11-30T06:30Z,213,201,moderate
2020-11-30T07:00Z,225,209,moderate
2020-11-30T07:30Z,233,217,moderate
2020-11-30T08:00Z,234,218,moderate
2020-11-30T08:30Z,231,221,moderate
2020-11-30T09:00Z,224,223,moderate
2020-11-30T09:30Z,222,223,moderate
2020-11-30T10:00Z,220,215,moderate
2020-11-30T10:30Z,220,204,moderate
2020-11-30T11:00Z,219,209,moderate
2020-11-30T11:30Z,217,214,moderate
2020-11-30T12:00Z,218,209,moderate
2020-11-30T12:30Z,214,206,moderate
2020-11-30T13:00Z,208,201,moderate
2020-11-30T13:30Z,208,199,moderate
2020-11-30T14:00Z,210,199,moderate
2020-11-30T14:30Z,208,197,moderate
2020-11-30T15:00Z,204,199,moderate
2020-11-30T15:30Z,201,215,moderate
2020-11-30T16:00Z,193,212,moderate
2020-11-30T16:30Z,189,206,moderate
2020-11-30T17:00Z,183,196,moderate
2020-11-30T17:30Z,181,189,moderate
2020-11-30T18:00Z,191,180,moderate
2020-11-30T18:30Z,189,165,moderate
2020-11-30T19:00Z,176,165,moderate
2020-11-30T19:30Z,171,177,moderate
2020-11-30T20:00Z,159,177,low
2020-11-30T20:30Z,156,159,low
2020-11-30T21:00Z,155,148,low
2020-11-30T21:30Z,148,145,low
2020-11-30T22:00Z,150,142,low
2020-11-30T22:30Z,140,136,low
2020-11-30T23:00Z,119,118,low
2020-11-30T23:30Z,113,137,low
2020-12-01T00:00Z,115,133,low
2020-12-01T00:30Z,121,120,low
2020-12-01T01:00Z,117,117,low
2020-12-01T01:30Z,112,138,low
2020-12-01T02:00Z,113,122,low
2020-12-01T02:30Z,113,119,low
2020-12-01T03:00Z,114,115,low
2020-12-01T03:30Z,116,115,low
2020-12-01T04:00Z,117,116,low
2020-12-01T04:30Z,119,118,low
2020-12-01T05:00Z,127,124,low
2020-12-01T05:30Z,150,138,low
2020-12-01T06:00Z,191,147,moderate
2020-12-01T06:30Z,224,167,moderate
2020-12-01T07:00Z,236,189,moderate
2020-12-01T07:30Z,242,229,moderate
2020-12-01T08:00Z,244,251,moderate
2020-12-01T08:30Z,244,224,moderate
2020-12-01T09:00Z,245,243,moderate
2020-12-01T09:30Z,246,241,moderate
2020-12-01T10:00Z,243,239,moderate
2020-12-01T10:30Z,238,234,moderate
2020-12-01T11:00Z,236,235,moderate
2020-12-01T11:30Z,235,234,moderate
2020-12-01T12:00Z,238,233,moderate
2020-12-01T12:30Z,240,237,moderate
2020-12-01T13:00Z,240,239,moderate
2020-12-01T13:30Z,243,241,moderate
2020-12-01T14:00Z,249,242,moderate
2020-12-01T14:30Z,254,245,moderate
2020-12-01T15:00Z,252,253,moderate
2020-12-01T15:30Z,249,267,moderate
2020-12-01T16:00Z,243,270,moderate
2020-12-01T16:30Z,238,256,moderate
2020-12-01T17:00Z,236,253,moderate
2020-12-01T17:30Z,238,248,moderate
2020-12-01T18:00Z,235,241,moderate
2020-12-01T18:30Z,233,239,moderate
2020-12-01T19:00Z,236,244,moderate
2020-12-01T19:30Z,237,241,moderate
2020-12-01T20:00Z,234,234,moderate
2020-12-01T20:30Z,231,227,moderate
2020-12-01T21:00Z,216,227,moderate
2020-12-01T21:30Z,212,221,moderate
2020-12-01T22:00Z,206,216,moderate
2020-12-01T22:30Z,192,197,moderate
2020-12-01T23:00Z,183,192,moderate
2020-12-01T23:30Z,177,185,moderate
2020-12-02T00:00Z,180,186,moderate
2020-12-02T00:30Z,186,154,moderate
2020-12-02T01:00Z,185,135,moderate
2020-12-02T01:30Z,179,137,moderate
2020-12-02T02:00Z,179,185,moderate
2020-12-02T02:30Z,172,183,moderate
2020-12-02T03:00Z,179,181,moderate
2020-12-02T03:30Z,180,179,moderate
2020-12-02T04:00Z,193,183,moderate
2020-12-02T04:30Z,197,183,moderate
2020-12-02T05:00Z,221,191,moderate
2020-12-02T05:30Z,238,203,moderate
2020-12-02T06:00Z,253,217,moderate
2020-12-02T06:30Z,275,240,high
2020-12-02T07:00Z,286,251,high
2020-12-02T07:30Z,292,259,high
2020-12-02T08:00Z,289,273,high
2020-12-02T08:30Z,283,278,high
2020-12-02T09:00Z,281,279,high
2020-12-02T09:30Z,282,274,high
2020-12-02T10:00Z,283,268,high
2020-12-02T10:30Z,278,265,high
2020-12-02T11:00Z,273,266,high
2020-12-02T11:30Z,268,264,high
2020-12-02T12:00Z,267,262,high
2020-12-02T12:30Z,279,259,high
2020-12-02T13:00Z,279,252,high
2020-12-02T13:30Z,268,251,high
2020-12-02T14:00Z,275,261,high
2020-12-02T14:30Z,271,267,high
2020-12-02T15:00Z,263,241,high
2020-12-02T15:30Z,265,266,high
2020-12-02T16:00Z,256,273,moderate
2020-12-02T16:30Z,261,261,high
2020-12-02T17:00Z,261,256,high
2020-12-02T17:30Z,268,250,high
2020-12-02T18:00Z,268,252,high
2020-12-02T18:30Z,266,249,high
2020-12-02T19:00Z,267,251,high
2020-12-02T19:30Z,254,250,moderate
2020-12-02T20:00Z,238,240,moderate
2020-12-02T20:30Z,226,240,moderate
2020-12-02T21:00Z,220,216,moderate
2020-12-02T21:30Z,215,209,moderate
2020-12-02T22:00Z,201,210,moderate
2020-12-02T22:30Z,184,192,moderate
2020-12-02T23:00Z,158,178,low
2020-12-02T23:30Z,146,177,low
2020-12-03T00:00Z,141,174,low
2020-12-03T00:30Z,145,154,low
2020-12-03T01:00Z,143,144,low
2020-12-03T01:30Z,137,137,low
2020-12-03T02:00Z,133,135,low
2020-12-03T02:30Z,140,136,low
2020-12-03T03:00Z,169,133,moderate
2020-12-03T03:30Z,145,131,low
2020-12-03T04:00Z,142,142,low
2020-12-03T04:30Z,139,153,low
2020-12-03T05:00Z,157,162,low
2020-12-03T05:30Z,184,168,moderate
2020-12-03T06:00Z,227,186,moderate
2020-12-03T06:30Z,260,217,high
2020-12-03T07:00Z,275,198,high
2020-12-03T07:30Z,279,251,high
2020-12-03T08:00Z,278,269,high
2020-12-03T08:30Z,279,278,high
2020-12-03T09:00Z,274,279,high
2020-12-03T09:30Z,277,279,high
2020-12-03T10:00Z,271,276,high
2020-12-03T10:30Z,267,275,high
2020-12-03T11:00Z,265,276,high
2020-12-03T11:30Z,265,270,high
2020-12-03T12:00Z,263,264,high
2020-12-03T12:30Z,262,265,high
2020-12-03T13:00Z,257,266,moderate
2020-12-03T13:30Z,256,265,moderate
2020-12-03T14:00Z,255,266,moderate
2020-12-03T14:30Z,265,259,high
2020-12-03T15:00Z,254,261,moderate
2020-12-03T15:30Z,250,258,moderate
2020-12-03T16:00Z,254,264,moderate
2020-12-03T16:30Z,252,259,moderate
2020-12-03T17:00Z,244,259,moderate
2020-12-03T17:30Z,240,259,moderate
2020-12-03T18:00Z,241,259,moderate
2020-12-03T18:30Z,244,251,moderate
2020-12-03T19:00Z,249,245,moderate
2020-12-03T19:30Z,242,248,moderate
2020-12-03T20:00Z,241,245,moderate
2020-12-03T20:30Z,225,234,moderate
2020-12-03T21:00Z,208,228,moderate
2020-12-03T21:30Z,194,222,moderate
2020-12-03T22:00Z,180,218,moderate
2020-12-03T22:30Z,161,188,moderate
2020-12-03T23:00Z,139,174,low
2020-12-03T23:30Z,120,162,low
2020-12-04T00:00Z,116,153,low
2020-12-04T00:30Z,116,140,low
2020-12-04T01:00Z,114,119,low
2020-12-04T01:30Z,109,112,low
2020-12-04T02:00Z,104,116,low
2020-12-04T02:30Z,98,117,low
2020-12-04T03:00Z,95,115,low
2020-12-04T03:30Z,93,117,low
2020-12-04T04:00Z,96,102,low
2020-12-04T04:30Z,95,98,low
2020-12-04T05:00Z,104,101,low
2020-12-04T05:30Z,105,103,low
2020-12-04T06:00Z,125,110,low
2020-12-04T06:30Z,153,125,low
2020-12-04T07:00Z,179,131,moderate
2020-12-04T07:30Z,189,152,moderate
2020-12-04T08:00Z,198,169,moderate
2020-12-04T08:30Z,199,189,moderate
2020-12-04T09:00Z,197,196,moderate
2020-12-04T09:30Z,199,206,moderate
2020-12-04T10:00Z,203,202,moderate
2020-12-04T10:30Z,199,196,moderate
2020-12-04T11:00Z,200,197,moderate
2020-12-04T11:30Z,199,194,moderate
2020-12-04T12:00Z,194,188,moderate
2020-12-04T12:30Z,193,179,moderate
2020-12-04T13:00Z,193,173,moderate
2020-12-04T13:30Z,195,166,moderate
2020-12-04T14:00Z,199,164,moderate
2020-12-04T14:30Z,203,187,moderate
2020-12-04T15:00Z,204,186,moderate
2020-12-04T15:30Z,203,205,moderate
2020-12-04T16:00Z,196,204,moderate
2020-12-04T16:30Z,191,201,moderate
2020-12-04T17:00Z,193,200,moderate
2020-12-04T17:30Z,193,192,moderate
2020-12-04T18:00Z,195,182,moderate
2020-12-04T18:30Z,194,171,moderate
2020-12-04T19:00Z,186,169,moderate
2020-12-04T19:30Z,181,164,moderate
2020-12-04T20:00Z,181,165,moderate
2020-12-04T20:30Z,172,165,moderate
2020-12-04T21:00Z,161,175,moderate
2020-12-04T21:30Z,160,177,moderate
2020-12-04T22:00Z,161,161,moderate
2020-12-04T22:30Z,149,152,low
2020-12-04T23:00Z,131,148,low
2020-12-04T23:30Z,131,151,low
2020-12-05T00:00Z,114,148,low
2020-12-05T00:30Z,122,132,low
2020-12-05T01:00Z,114,133,low
2020-12-05T01:30Z,110,123,low
2020-12-05T02:00Z,108,127,low
2020-12-05T02:30Z,105,121,low
2020-12-05T03:00Z,101,114,low
2020-12-05T03:30Z,96,118,low
2020-12-05T04:00Z,94,117,low
2020-12-05T04:30Z,96,115,low
2020-12-05T05:00Z,107,114,low
2020-12-05T05:30Z,122,118,low
2020-12-05T06:00Z,124,120,low
2020-12-05T06:30Z,146,138,low
2020-12-05T07:00Z,174,147,moderate
2020-12-05T07:30Z,183,155,moderate
2020-12-05T08:00Z,185,163,moderate
2020-12-05T08:30Z,202,125,moderate
2020-12-05T09:00Z,211,205,moderate
2020-12-05T09:30Z,215,117,moderate
2020-12-05T10:00Z,211,206,moderate
2020-12-05T10:30Z,214,221,moderate
2020-12-05T11:00Z,210,227,moderate
2020-12-05T11:30Z,218,221,moderate
2020-12-05T12:00Z,224,222,moderate
2020-12-05T12:30Z,228,225,moderate
2020-12-05T13:00Z,237,234,moderate
2020-12-05T13:30Z,239,240,moderate
2020-12-05T14:00Z,247,241,moderate
2020-12-05T14:30Z,251,247,moderate
2020-12-05T15:00Z,255,254,moderate
2020-12-05T15:30Z,253,264,moderate
2020-12-05T16:00Z,253,266,moderate
2020-12-05T16:30Z,256,265,moderate
2020-12-05T17:00Z,246,265,moderate
2020-12-05T17:30Z,249,264,moderate
2020-12-05T18:00Z,252,265,moderate
2020-12-05T18:30Z,251,260,moderate
2020-12-05T19:00Z,257,261,moderate
2020-12-05T19:30Z,258,263,moderate
2020-12-05T20:00Z,259,262,moderate
2020-12-05T20:30Z,263,263,high
2020-12-05T21:00Z,264,255,high
2020-12-05T21:30Z,252,247,moderate
2020-12-05T22:00Z,252,255,moderate
2020-12-05T22:30Z,242,248,moderate
2020-12-05T23:00Z,220,239,moderate
2020-12-05T23:30Z,214,243,moderate
2020-12-06T00:00Z,212,236,moderate
2020-12-06T00:30Z,213,223,moderate
2020-12-06T01:00Z,215,215,moderate
2020-12-06T01:30Z,209,206,moderate
2020-12-06T02:00Z,207,206,moderate
2020-12-06T02:30Z,202,211,moderate
2020-12-06T03:00Z,198,208,moderate
2020-12-06T03:30Z,197,204,moderate
2020-12-06T04:00Z,204,203,moderate
2020-12-06T04:30Z,199,199,moderate
2020-12-06T05:00Z,199,198,moderate
2020-12-06T05:30Z,199,200,moderate
2020-12-06T06:00Z,202,211,moderate
2020-12-06T06:30Z,226,222,moderate
2020-12-06T07:00Z,251,228,moderate
2020-12-06T07:30Z,260,239,high
2020-12-06T08:00Z,261,157,high
2020-12-06T08:30Z,267,264,high
2020-12-06T09:00Z,262,278,high
2020-12-06T09:30Z,264,278,high
2020-12-06T10:00Z,259,277,moderate
2020-12-06T10:30Z,263,272,high
2020-12-06T11:00Z,263,271,high
2020-12-06T11:30Z,267,266,high
2020-12-06T12:00Z,272,266,high
2020-12-06T12:30Z,280,271,high
2020-12-06T13:00Z,286,273,high
2020-12-06T13:30Z,288,278,high
2020-12-06T14:00Z,290,285,high
2020-12-06T14:30Z,293,286,high
2020-12-06T15:00Z,297,295,high
2020-12-06T15:30Z,289,297,high
2020-12-06T16:00Z,293,306,high
2020-12-06T16:30Z,297,300,high
2020-12-06T17:00Z,298,292,high
2020-12-06T17:30Z,298,296,high
2020-12-06T18:00Z,288,301,high
2020-12-06T18:30Z,288,295,high
2020-12-06T19:00Z,294,334,high
2020-12-06T19:30Z,295,289,high
2020-12-06T20:00Z,288,289,high
2020-12-06T20:30Z,290,296,high
2020-12-06T21:00Z,292,296,high
2020-12-06T21:30Z,292,289,high
2020-12-06T22:00Z,289,274,high
2020-12-06T22:30Z,279,279,high
2020-12-06T23:00Z,261,229,high
2020-12-06T23:30Z,258,276,moderate
2020-12-07T00:00Z,244,273,moderate
2020-12-07T00:30Z,246,262,moderate
2020-12-07T01:00Z,247,255,moderate
2020-12-07T01:30Z,241,240,moderate
2020-12-07T02:00Z,239,241,moderate
2020-12-07T02:30Z,238,241,moderate
2020-12-07T03:00Z,235,237,moderate
2020-12-07T03:30Z,233,234,moderate
2020-12-07T04:00Z,237,241,moderate
2020-12-07T04:30Z,248,236,moderate
2020-12-07T05:00Z,259,255,moderate
2020-12-07T05:30Z,265,274,high
2020-12-07T06:00Z,287,304,high
2020-12-07T06:30Z,305,297,high
2020-12-07T07:00Z,303,284,high
2020-12-07T07:30Z,304,295,high
2020-12-07T08:00Z,296,281,high
2020-12-07T08:30Z,293,298,high
2020-12-07T09:00Z,287,300,high
2020-12-07T09:30Z,285,297,high
2020-12-07T10:00Z,284,291,high
2020-12-07T10:30Z,282,283,high
2020-12-07T11:00Z,287,282,high
2020-12-07T11:30Z,288,282,high
2020-12-07T12:00Z,284,275,high
2020-12-07T12:30Z,279,281,high
2020-12-07T13:00Z,283,285,high
2020-12-07T13:30Z,284,280,high
2020-12-07T14:00Z,282,275,high
2020-12-07T14:30Z,277,276,high
2020-12-07T15:00Z,264,275,high
2020-12-07T15:30Z,268,301,high
2020-12-07T16:00Z,267,272,high
2020-12-07T16:30Z,269,264,high
2020-12-07T17:00Z,267,267,high
2020-12-07T17:30Z,268,266,high
2020-12-07T18:00Z,270,264,high
2020-12-07T18:30Z,273,266,high
2020-12-07T19:00Z,275,266,high
2020-12-07T19:30Z,269,265,high
2020-12-07T20:00Z,270,266,high
2020-12-07T20:30Z,263,257,high
2020-12-07T21:00Z,261,240,high
2020-12-07T21:30Z,247,230,moderate
2020-12-07T22:00Z,234,233,moderate
2020-12-07T22:30Z,233,227,moderate
2020-12-07T23:00Z,216,203,moderate
2020-12-07T23:30Z,207,224,moderate
2020-12-08T00:00Z,195,226,moderate
2020-12-08T00:30Z,199,211,moderate
2020-12-08T01:00Z,188,201,moderate
2020-12-08T01:30Z,185,193,moderate
2020-12-08T02:00Z,184,196,moderate
2020-12-08T02:30Z,182,184,moderate
2020-12-08T03:00Z,187,182,moderate
2020-12-08T03:30Z,187,177,moderate
2020-12-08T04:00Z,196,183,moderate
2020-12-08T04:30Z,202,189,moderate
2020-12-08T05:00Z,220,191,moderate
2020-12-08T05:30Z,233,206,moderate
2020-12-08T06:00Z,256,225,moderate
2020-12-08T06:30Z,272,253,high
2020-12-08T07:00Z,282,278,high
2020-12-08T07:30Z,282,295,high
2020-12-08T08:00Z,276,288,high
2020-12-08T08:30Z,278,280,high
2020-12-08T09:00Z,278,277,high
2020-12-08T09:30Z,277,280,high
2020-12-08T10:00Z,284,279,high
2020-12-08T10:30Z,284,277,high
2020-12-08T11:00Z,283,275,high
2020-12-08T11:30Z,287,279,high
2020-12-08T12:00Z,282,278,high
2020-12-08T12:30Z,281,277,high
2020-12-08T13:00Z,275,279,high
2020-12-08T13:30Z,277,278,high
2020-12-08T14:00Z,281,278,high
2020-12-08T14:30Z,280,272,high
2020-12-08T15:00Z,272,273,high
2020-12-08T15:30Z,262,272,high
2020-12-08T16:00Z,259,280,moderate
2020-12-08T16:30Z,258,270,moderate
2020-12-08T17:00Z,256,261,moderate
2020-12-08T17:30Z,260,258,high
2020-12-08T18:00Z,263,260,high
2020-12-08T18:30Z,261,255,high
2020-12-08T19:00Z,268,259,high
2020-12-08T19:30Z,264,268,high
2020-12-08T20:00Z,267,265,high
2020-12-08T20:30Z,262,258,high
2020-12-08T21:00Z,260,249,high
2020-12-08T21:30Z,253,237,moderate
2020-12-08T22:00Z,243,234,moderate
2020-12-08T22:30Z,237,232,moderate
2020-12-08T23:00Z,213,228,moderate
2020-12-08T23:30Z,205,227,moderate
2020-12-09T00:00Z,202,235,moderate
2020-12-09T00:30Z,205,218,moderate
2020-12-09T01:00Z,201,208,moderate
2020-12-09T01:30Z,196,202,moderate
2020-12-09T02:00Z,199,206,moderate
2020-12-09T02:30Z,199,202,moderate
2020-12-09T03:00Z,194,201,moderate
2020-12-09T03:30Z,202,205,moderate
2020-12-09T04:00Z,204,201,moderate
2020-12-09T04:30Z,211,203,moderate
2020-12-09T05:00Z,222,205,moderate
2020-12-09T05:30Z,238,216,moderate
2020-12-09T06:00Z,273,240,high
2020-12-09T06:30Z,277,272,high
2020-12-09T07:00Z,285,285,high
2020-12-09T07:30Z,293,303,high
2020-12-09T08:00Z,289,293,high
2020-12-09T08:30Z,284,288,high
2020-12-09T09:00Z,289,293,high
2020-12-09T09:30Z,295,292,high
2020-12-09T10:00Z,292,286,high
2020-12-09T10:30Z,286,287,high
2020-12-09T11:00Z,282,290,high
2020-12-09T11:30Z,281,292,high
2020-12-09T12:00Z,281,287,high
2020-12-09T12:30Z,278,285,high
2020-12-09T13:00Z,285,284,high
2020-12-09T13:30Z,283,284,high
2020-12-09T14:00Z,281,276,high
2020-12-09T14:30Z,281,279,high
2020-12-09T15:00Z,268,278,high
2020-12-09T15:30Z,270,278,high
2020-12-09T16:00Z,270,279,high
2020-12-09T16:30Z,266,270,high
2020-12-09T17:00Z,262,268,high
2020-12-09T17:30Z,251,269,moderate
2020-12-09T18:00Z,258,264,moderate
2020-12-09T18:30Z,257,265,moderate
2020-12-09T19:00Z,262,258,high
2020-12-09T19:30Z,256,253,moderate
2020-12-09T20:00Z,250,248,moderate
2020-12-09T20:30Z,235,247,moderate
2020-12-09T21:00Z,225,230,moderate
2020-12-09T21:30Z,214,164,moderate
2020-12-09T22:00Z,207,210,moderate
2020-12-09T22:30Z,188,195,moderate
2020-12-09T23:00Z,151,189,low
2020-12-09T23:30Z,135,184,low
2020-12-10T00:00Z,137,182,low
2020-12-10T00:30Z,143,159,low
2020-12-10T01:00Z,141,145,low
2020-12-10T01:30Z,139,141,low
2020-12-10T02:00Z,140,141,low
2020-12-10T02:30Z,143,145,low
2020-12-10T03:00Z,150,145,low
2020-12-10T03:30Z,149,145,low
2020-12-10T04:00Z,144,149,low
2020-12-10T04:30Z,151,157,low
2020-12-10T05:00Z,169,158,moderate
2020-12-10T05:30Z,187,157,moderate
2020-12-10T06:00Z,218,162,moderate
2020-12-10T06:30Z,235,193,moderate
2020-12-10T07:00Z,250,216,moderate
2020-12-10T07:30Z,263,242,high
2020-12-10T08:00Z,263,244,high
2020-12-10T08:30Z,262,245,high
2020-12-10T09:00Z,258,253,moderate
2020-12-10T09:30Z,258,256,moderate
2020-12-10T10:00Z,257,251,moderate
2020-12-10T10:30Z,256,247,moderate
2020-12-10T11:00Z,256,248,moderate
2020-12-10T11:30Z,258,248,moderate
2020-12-10T12:00Z,256,250,moderate
2020-12-10T12:30Z,257,244,moderate
2020-12-10T13:00Z,254,244,moderate
2020-12-10T13:30Z,259,242,moderate
2020-12-10T14:00Z,262,242,high
2020-12-10T14:30Z,258,244,moderate
2020-12-10T15:00Z,256,252,moderate
2020-12-10T15:30Z,257,256,moderate
2020-12-10T16:00Z,255,251,moderate
2020-12-10T16:30Z,253,247,moderate
2020-12-10T17:00Z,252,244,moderate
2020-12-10T17:30Z,252,238,moderate
2020-12-10T18:00Z,252,238,moderate
2020-12-10T18:30Z,247,231,moderate
2020-12-10T19:00Z,236,234,moderate
2020-12-10T19:30Z,224,225,moderate
2020-12-10T20:00Z,200,214,moderate
2020-12-10T20:30Z,186,196,moderate
2020-12-10T21:00Z,172,185,moderate
2020-12-10T21:30Z,164,174,moderate
2020-12-10T22:00Z,155,161,low
2020-12-10T22:30Z,139,154,low
2020-12-10T23:00Z,126,151,low
2020-12-10T23:30Z,116,146,low
2020-12-11T00:00Z,122,134,low
2020-12-11T00:30Z,126,128,low
2020-12-11T01:00Z,125,120,low
2020-12-11T01:30Z,125,125,low
2020-12-11T02:00Z,129,128,low
2020-12-11T02:30Z,119,132,low
2020-12-11T03:00Z,113,133,low
2020-12-11T03:30Z,111,131,low
2020-12-11T04:00Z,103,126,low
2020-12-11T04:30Z,107,120,low
2020-12-11T05:00Z,101,120,low
2020-12-11T05:30Z,125,121,low
2020-12-11T06:00Z,174,129,moderate
2020-12-11T06:30Z,210,136,moderate
2020-12-11T07:00Z,244,159,moderate
2020-12-11T07:30Z,261,206,high
2020-12-11T08:00Z,265,226,high
2020-12-11T08:30Z,269,254,high
2020-12-11T09:00Z,269,264,high
2020-12-11T09:30Z,275,266,high
2020-12-11T10:00Z,274,273,high
2020-12-11T10:30Z,275,274,high
2020-12-11T11:00Z,277,278,high
2020-12-11T11:30Z,278,278,high
2020-12-11T12:00Z,283,277,high
2020-12-11T12:30Z,283,279,high
2020-12-11T13:00Z,287,284,high
2020-12-11T13:30Z,295,285,high
2020-12-11T14:00Z,294,289,high
2020-12-11T14:30Z,295,294,high
2020-12-11T15:00Z,284,297,high
2020-12-11T15:30Z,280,294,high
2020-12-11T16:00Z,275,294,high
2020-12-11T16:30Z,280,284,high
2020-12-11T17:00Z,283,283,high
2020-12-11T17:30Z,285,282,high
2020-12-11T18:00Z,285,275,high
2020-12-11T18:30Z,284,283,high
2020-12-11T19:00Z,292,295,high
2020-12-11T19:30Z,295,298,high
2020-12-11T20:00Z,280,287,high
2020-12-11T20:30Z,266,271,high
2020-12-11T21:00Z,252,265,moderate
2020-12-11T21:30Z,239,265,moderate
2020-12-11T22:00Z,228,253,moderate
2020-12-11T22:30Z,218,239,moderate
2020-12-11T23:00Z,204,229,moderate
2020-12-11T23:30Z,198,220,moderate
2020-12-12T00:00Z,196,217,moderate
2020-12-12T00:30Z,198,205,moderate
2020-12-12T01:00Z,197,198,moderate
2020-12-12T01:30Z,192,191,moderate
2020-12-12T02:00Z,190,194,moderate
2020-12-12T02:30Z,187,192,moderate
2020-12-12T03:00Z,185,188,moderate
2020-12-12T03:30Z,179,179,moderate
2020-12-12T04:00Z,174,179,moderate
2020-12-12T04:30Z,170,174,moderate
2020-12-12T05:00Z,172,173,moderate
2020-12-12T05:30Z,164,165,moderate
2020-12-12T06:00Z,172,169,moderate
2020-12-12T06:30Z,175,175,moderate
2020-12-12T07:00Z,183,176,moderate
2020-12-12T07:30Z,194,185,moderate
2020-12-12T08:00Z,208,193,moderate
2020-12-12T08:30Z,216,202,moderate
2020-12-12T09:00Z,218,207,moderate
2020-12-12T09:30Z,220,217,moderate
2020-12-12T10:00Z,221,219,moderate
2020-12-12T10:30Z,221,223,moderate
2020-12-12T11:00Z,224,222,moderate
2020-12-12T11:30Z,223,220,moderate
2020-12-12T12:00Z,221,224,moderate
2020-12-12T12:30Z,223,225,moderate
2020-12-12T13:00Z,225,226,moderate
2020-12-12T13:30Z,227,229,moderate
2020-12-12T14:00Z,233,234,moderate
2020-12-12T14:30Z,237,235,moderate
2020-12-12T15:00Z,246,241,moderate
2020-12-12T15:30Z,253,244,moderate
2020-12-12T16:00Z,256,252,moderate
2020-12-12T16:30Z,256,258,moderate
2020-12-12T17:00Z,257,261,moderate
2020-12-12T17:30Z,257,262,moderate
2020-12-12T18:00Z,262,266,high
2020-12-12T18:30Z,266,265,high
2020-12-12T19:00Z,268,261,high
2020-12-12T19:30Z,264,263,high
2020-12-12T20:00Z,262,261,high
2020-12-12T20:30Z,253,261,moderate
2020-12-12T21:00Z,249,260,moderate
2020-12-12T21:30Z,238,258,moderate
2020-12-12T22:00Z,231,243,moderate
2020-12-12T22:30Z,214,233,moderate
2020-12-12T23:00Z,199,225,moderate
2020-12-12T23:30Z,194,218,moderate
2020-12-13T00:00Z,192,212,moderate
2020-12-13T00:30Z,191,201,moderate
2020-12-13T01:00Z,182,198,moderate
2020-12-13T01:30Z,171,195,moderate
2020-12-13T02:00Z,177,194,moderate
2020-12-13T02:30Z,158,191,low
